BAND_NUMBER,BAND_NAME,LONGITUDE,LATITUDE,COORD_SYS
28,Wagmatcook,-60.91820381100001,46.073833331,GCS_North_American_1983_CSRS
363,Ochapowace,-102.39440491699997,50.46998498900001,GCS_North_American_1983_CSRS
231,Henvey Inlet First Nation,-80.561395747,45.975772740000025,GCS_North_American_1983_CSRS
604,?Akisq'nuk First Nation,-115.963991502,50.45849703499999,GCS_North_American_1983_CSRS
282,Minegoziibe Anishinabe,-100.166877462,52.04547910299999,GCS_North_American_1983_CSRS
375,Muskeg Lake Cree Nation #102,-106.87411821299997,53.00294787199999,GCS_North_American_1983_CSRS
564,Kwantlen First Nation,-122.56549429,49.17144389800001,GCS_North_American_1983_CSRS
305,Fox Lake,-94.20286700000003,56.504662999999994,GCS_North_American_1983_CSRS
327,Pauingassi First Nation,-95.37412579900001,52.15760621499999,GCS_North_American_1983_CSRS
594,Ts'kw'aylaxw First Nation,-121.81899298600001,50.885892747000014,GCS_North_American_1983_CSRS
348,Sweetgrass,-108.71592532199998,52.76546337000002,GCS_North_American_1983_CSRS
453,Lubicon Lake Band No. 453,-116.117385405,56.448399087999974,GCS_North_American_1983_CSRS
245,Tuscarora,-80.038599363,43.019170868,GCS_North_American_1983_CSRS
558,Aitchelitz,-121.98689677300001,49.15041731100001,GCS_North_American_1983_CSRS
50,Nation Wendat,-71.35719487699998,46.86262373699998,GCS_North_American_1983_CSRS
769,Wha Ti First Nation,-117.27463101000001,63.14454648899999,GCS_North_American_1983_CSRS
54,Première Nation Wolastoqiyik (Malécite) Wahsipekuk,-69.507638729,47.918029925999974,GCS_North_American_1983_CSRS
698,Shackan,-121.17537300700002,50.29338822,GCS_North_American_1983_CSRS
672,Gitxaala Nation,-130.433075895,53.796382118,GCS_North_American_1983_CSRS
168,Munsee-Delaware Nation,-81.46830082100001,42.78799233299998,GCS_North_American_1983_CSRS
475,Goodstoney,-114.84690859199998,51.16979368199998,GCS_North_American_1983_CSRS
755,Aklavik,-135.02005553599997,68.21800265600001,GCS_North_American_1983_CSRS
753,Gwichya Gwich'in,-133.743505647,67.44185087800003,GCS_North_American_1983_CSRS
774,Dechi Laot'i First Nations,-114.18502038999998,64.189867359,GCS_North_American_1983_CSRS
158,Naotkamegwanning,-93.958793749,49.40897937699998,GCS_North_American_1983_CSRS
553,Klahoose First Nation,-124.920855001,50.126019249000024,GCS_North_American_1983_CSRS
170,Walpole Island,-82.493359124,42.59193425000001,GCS_North_American_1983_CSRS
579,Leq'á:mel First Nation,-122.03433621300002,49.20400384499999,GCS_North_American_1983_CSRS
651,Qualicum First Nation,-124.61575380400001,49.39697755999998,GCS_North_American_1983_CSRS
358,Wahpeton Dakota Nation,-105.897007024,53.27662607000002,GCS_North_American_1983_CSRS
366,Cote First Nation 366,-101.90268883499999,51.643882338000026,GCS_North_American_1983_CSRS
596,Osoyoos,-119.53313507799999,49.183809240000016,GCS_North_American_1983_CSRS
341,Lucky Man,-107.23656214300001,52.988900925999985,GCS_North_American_1983_CSRS
62,Communauté anicinape de Kitcisakik,-77.30543368000002,47.61810696700002,GCS_North_American_1983_CSRS
569,Semiahmoo,-122.77774077999999,49.014531998999985,GCS_North_American_1983_CSRS
75,Cree Nation of Mistissini,-73.864326,50.41504600000002,GCS_North_American_1983_CSRS
563,Katzie,-122.67693048400002,49.20142539599999,GCS_North_American_1983_CSRS
613,Stellat'en First Nation,-124.911113623,54.06379650399998,GCS_North_American_1983_CSRS
544,Prophet River First Nation,-122.69817755000003,58.09196936500001,GCS_North_American_1983_CSRS
